"","day","month","year","HR_Valor"
"1","01","02","2005",0.79
"2","02","02","2005",0.68
"3","03","02","2005",0.65
"4","04","02","2005",0.9
"5","05","02","2005",0.78
"6","06","02","2005",0.85
"7","07","02","2005",0.79
"8","08","02","2005",0.85
"9","09","02","2005",0.86
"10","10","02","2005",0.9
"11","11","02","2005",0.85
"12","12","02","2005",0.83
"13","13","02","2005",0.73
"14","14","02","2005",0.79
"15","15","02","2005",0.78
"16","16","02","2005",0.77
"17","17","02","2005",0.75
"18","18","02","2005",0.83
"19","19","02","2005",0.84
"20","20","02","2005",0.84
"21","21","02","2005",0.84
"22","22","02","2005",0.84
"23","23","02","2005",0.9
"24","24","02","2005",0.83
"25","25","02","2005",0.93
"26","26","02","2005",0.95
"27","27","02","2005",0.79
"28","28","02","2005",0.75
"29","01","03","2005",0.73
"30","02","03","2005",0.8
"31","03","03","2005",0.83
"32","04","03","2005",0.79
"33","05","03","2005",0.76
"34","06","03","2005",0.74
"35","07","03","2005",0.86
"36","08","03","2005",0.86
"37","09","03","2005",0.79
"38","10","03","2005",0.74
"39","11","03","2005",0.75
"40","12","03","2005",0.76
"41","13","03","2005",0.77
"42","14","03","2005",0.8
"43","15","03","2005",0.72
"44","16","03","2005",0.79
"45","17","03","2005",0.73
"46","18","03","2005",0.87
"47","19","03","2005",0.77
"48","20","03","2005",0.94
"49","21","03","2005",0.74
"50","22","03","2005",0.79
"51","23","03","2005",0.86
"52","24","03","2005",0.85
"53","25","03","2005",0.83
"54","26","03","2005",0.79
"55","27","03","2005",0.84
"56","28","03","2005",0.81
"57","29","03","2005",0.8
"58","30","03","2005",0.79
"59","31","03","2005",0.81
"60","01","04","2005",0.79
"61","02","04","2005",0.86
"62","03","04","2005",0.82
"63","04","04","2005",0.83
"64","05","04","2005",0.9
"65","06","04","2005",0.79
"66","07","04","2005",0.88
"67","08","04","2005",0.75
"68","09","04","2005",0.88
"69","10","04","2005",0.88
"70","11","04","2005",0.8
"71","12","04","2005",0.77
"72","13","04","2005",0.67
"73","14","04","2005",0.83
"74","15","04","2005",0.96
"75","16","04","2005",0.85
"76","17","04","2005",0.84
"77","18","04","2005",0.9
"78","19","04","2005",0.84
"79","20","04","2005",0.86
"80","21","04","2005",0.88
"81","22","04","2005",0.92
"82","23","04","2005",0.9
"83","24","04","2005",0.87
"84","25","04","2005",0.81
"85","26","04","2005",0.91
"86","27","04","2005",0.91
"87","28","04","2005",0.82
"88","29","04","2005",0.88
"89","30","04","2005",0.86
"90","01","05","2005",0.82
"91","02","05","2005",0.89
"92","03","05","2005",0.66
"93","04","05","2005",0.74
"94","05","05","2005",0.89
"95","06","05","2005",0.86
"96","07","05","2005",0.97
"97","08","05","2005",0.93
"98","09","05","2005",0.97
"99","10","05","2005",0.93
"100","11","05","2005",0.98
"101","12","05","2005",0.85
"102","13","05","2005",0.97
"103","14","05","2005",0.88
"104","15","05","2005",0.88
"105","16","05","2005",0.96
"106","17","05","2005",0.83
"107","18","05","2005",0.75
"108","19","05","2005",0.72
"109","20","05","2005",0.84
"110","21","05","2005",0.98
"111","22","05","2005",0.77
"112","23","05","2005",0.78
"113","24","05","2005",0.81
"114","25","05","2005",0.98
"115","26","05","2005",0.86
"116","27","05","2005",0.98
"117","28","05","2005",0.98
"118","29","05","2005",0.96
"119","30","05","2005",0.94
"120","31","05","2005",0.89
"121","01","06","2005",0.81
"122","02","06","2005",0.8
"123","03","06","2005",0.9
